Rank,Name,Symbol,Markey Cap (cleaned),Circulating (cleaned),% 1h,% 24h,% 7d
1,Bitcoin,BTC,2.26E+11,18522731,1.82%,4.20%,6.71%
2,Ethereum,ETH,42836743740,113091410,2.03%,-0.12%,-1.12%
3,Tether,USDT,15918836179,15897187815,0.01%,0.06%,0.03%
4,XRP,XRP,11174176677,45248061374,0.84%,0.61%,-4.07%
5,Bitcoin Cash,BCH,4658012715,18550144,2.70%,0.47%,-1.50%
6,Binance Coin,BNB,4249782097,144406561,1.18%,-2.16%,-4.36%
7,Chainlink,LINK,4026622964,388509556,3.67%,-4.42%,-6.74%
8,Polkadot,DOT,3458099655,852647705,2.93%,1.83%,-4.53%
9,Cardano,ADA,3248541900,31112484646,1.04%,-3.80%,-4.93%
10,Litecoin,LTC,3230844321,65712140,3.90%,2.10%,-1.72%
11,Bitcoin SV,BSV,2978376818,18548589,1.27%,0.21%,-6.02%
12,USD Coin,USDC,2738178324,2737003446,0.01%,0.00%,-0.01%
13,EOS,EOS,2418011764,937072284,1.88%,-0.14%,-2.43%
14,Crypto.com Coin,CRO,2198398464,20807305936,-1.15%,-3.74%,-28.40%
15,Monero,XMR,2174169646,17731774,3.79%,-2.26%,-7.00%
16,TRON,TRX,1886194326,71659657369,1.21%,2.43%,-1.87%
17,Stellar,XLM,1734769607,20851495088,0.81%,-2.70%,9.33%
18,Tezos,XTZ,1576250707,747338314,1.26%,-5.42%,-12.59%
19,Wrapped Bitcoin,WBTC,1304154519,106786,1.90%,4.31%,6.84%
20,Neo,NEO,1230542560,70538831,1.95%,-0.65%,-0.70%
21,UNUS SED LEO,LEO,1219152657,999498893,0.23%,0.71%,2.73%
22,Cosmos,ATOM,1081056991,204663071,2.70%,-3.75%,-12.12%
23,NEM,XEM,984506436,8999999999,-0.85%,-2.60%,-11.03%
24,Huobi Token,HT,918040927,207039130,1.02%,0.84%,-5.55%
25,Dai,DAI,914406202,907506658,0.03%,0.21%,-0.30%
26,Binance USD,BUSD,805915186,805754036,-0.02%,0.00%,0.02%
27,IOTA,MIOTA,751504416,2779530283,1.42%,-0.83%,-5.29%
28,Dash,DASH,712568281,9769030,1.76%,-2.69%,2.06%
29,VeChain,VET,712294910,64315576989,1.75%,-1.90%,-3.50%
30,THETA,THETA,621967597,1000000000,1.74%,-2.00%,-16.89%
32,Zcash,ZEC,617915063,10296213,2.62%,-10.63%,-15.97%
33,Ethereum Classic,ETC,606112357,116313299,2.28%,-0.55%,-2.78%
34,Filecoin,FIL,559275109,18129862,0.25%,-5.85%,-8.03%
35,Maker,MKR,559064504,1003992,1.26%,-0.91%,0.12%
36,OMG Network,OMG,458014066,140245398,2.66%,-2.27%,-6.68%
37,UMA,UMA,449155092,55318019,-1.16%,-1.97%,-9.39%
38,Ontology,ONT,423966442,775484099,5.16%,-4.70%,-6.95%
39,yearn.finance,YFI,408125766,29968,2.68%,-2.45%,-13.52%
40,Synthetix Network Token,SNX,387015081,102898987,0.24%,1.25%,-17.10%
41,ABBC Coin,ABBC,347472186,587230742,-2.72%,1.56%,41.95%
43,TrueUSD,TUSD,332092069,331913799,-0.01%,0.03%,-0.02%
44,Dogecoin,DOGE,332043726,1.27E+11,0.44%,1.20%,-0.59%
47,Algorand,ALGO,323712071,1091509900,1.61%,-1.78%,-13.28%
48,Basic Attention Token,BAT,315219450,1484868945,1.40%,-0.34%,-2.58%
49,OKB,OKB,307922721,60000000,7.25%,11.86%,-15.69%
50,Aave,AAVE,305055882,9243288,2.41%,-4.58%,-37.01%
51,Waves,WAVES,299486942,103320550,0.71%,0.76%,15.46%
52,DigiByte,DGB,294835442,13666656130,-0.07%,-5.45%,-10.77%
53,HedgeTrade,HEDG,288182081,347992397,3.45%,1.64%,-10.92%
54,0x,ZRX,275619281,743816766,0.82%,-4.00%,-13.74%
55,Celsius,CEL,273663588,238863520,-1.51%,-5.98%,-11.01%
56,Ren,REN,264905142,884532525,2.83%,-8.92%,-16.24%
57,Paxos Standard,PAX,244701680,244951954,-0.41%,0.00%,-0.58%
58,Celo,CELO,243968020,124447717,-0.08%,-3.92%,-8.59%
59,Kusama,KSM,242099880,8470098,0.75%,-2.02%,-7.89%
60,Qtum,QTUM,213735859,97324452,1.36%,-0.30%,-5.74%
61,ICON,ICX,208842129,570466781,0.41%,-3.18%,-11.27%
