symbol,baseAsset,quoteAsset,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,ETH,BTC,0.00059600,1.981,0.03077782,0.03008700,0.03068300,3.00000000,0.03068600,11.59400000,0.03068700,24.00000000,0.03008700,0.03136500,0.02988000,238465.63300000,7339.45289237,1607498922375,1607585322375,205773488,205902665,129178
LTCBTC,LTC,BTC,-0.00005900,-1.411,0.00416121,0.00418000,0.00412200,5.07000000,0.00412100,148.13000000,0.00412300,0.24000000,0.00418100,0.00422000,0.00408100,207449.10000000,863.23993225,1607498921931,1607585321931,47588250,47625709,37460
BNBBTC,BNB,BTC,-0.00000100,-0.066,0.00152494,0.00152030,0.00151930,35.00000000,0.00151930,9.92000000,0.00151970,2.09000000,0.00152030,0.00154140,0.00151280,556536.40000000,848.68571188,1607498921771,1607585321771,96042045,96094948,52904
NEOBTC,NEO,BTC,0.00000000,0.000,0.00090498,0.00090300,0.00090300,15.12000000,0.00090200,958.73000000,0.00090400,234.19000000,0.00090300,0.00092500,0.00088900,157436.04000000,142.47687039,1607498922187,1607585322187,35512247,35520302,8056
QTUMETH,QTUM,ETH,-0.00007600,-1.725,0.00433409,0.00443200,0.00433000,0.73000000,0.00430800,90.88000000,0.00433100,15.73000000,0.00440600,0.00440600,0.00428400,7399.57000000,32.07040299,1607498913895,1607585313895,4283122,4283307,186
EOSETH,EOS,ETH,-0.00012100,-2.390,0.00492971,0.00506000,0.00494100,9.37000000,0.00493800,300.00000000,0.00494100,300.00000000,0.00506200,0.00506500,0.00484500,598905.83000000,2952.43478828,1607498917664,1607585317664,18142683,18147630,4948
SNTETH,SNT,ETH,-0.00000006,-0.104,0.00005754,0.00005730,0.00005737,2543.00000000,0.00005732,195.00000000,0.00005780,24000.00000000,0.00005743,0.00006081,0.00005454,2654290.00000000,152.73544515,1607498910899,1607585310899,2719125,2719899,775
BNTETH,BNT,ETH,-0.00000600,-0.347,0.00171938,0.00172800,0.00172200,1.72000000,0.00170100,417.04000000,0.00171600,37.58000000,0.00172800,0.00176200,0.00168800,44966.28000000,77.31395392,1607498909206,1607585309206,1467053,1467477,425
GASBTC,GAS,BTC,-0.00000200,-2.296,0.00008657,0.00008700,0.00008510,35.34000000,0.00008510,304.48000000,0.00008550,70.86000000,0.00008710,0.00008960,0.00008430,175249.27000000,15.17220199,1607498772610,1607585172610,7827263,7830293,3031
BNBETH,BNB,ETH,-0.00095300,-1.889,0.04946789,0.05052800,0.04950100,3.63000000,0.04949000,3.63000000,0.04953000,3.64000000,0.05045400,0.05081900,0.04860000,69106.99000000,3418.57698012,1607498920453,1607585320453,22194732,22203756,9025
BTCUSDT,BTC,USDT,185.89000000,1.024,18253.78652816,18161.13000000,18347.02000000,0.11327900,18347.02000000,10.69254900,18347.03000000,0.00001800,18161.13000000,18639.57000000,17650.00000000,71356.05052100,1302518113.70277925,1607498922110,1607585322110,501676568,502868504,1191937
ETHUSDT,ETH,USDT,16.75000000,3.066,560.67301232,546.43000000,563.06000000,4.73090000,563.01000000,14.00947000,563.07000000,7.22301000,546.31000000,578.08000000,530.43000000,898198.48982000,503595652.95226250,1607498922402,1607585322402,220993102,221516148,523047
OAXETH,OAX,ETH,0.00000000,0.000,0.00017780,0.00017780,0.00017780,16.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00017780,0.00017780,0.00017780,16.00000000,0.00284480,1604223738964,1604310138964,1388531,1388531,1
DNTETH,DNT,ETH,0.00000000,0.000,0.00002801,0.00002801,0.00002801,124.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002801,0.00002801,0.00002801,124.00000000,0.00347324,1604223738964,1604310138964,1587595,1587595,1
MCOETH,MCO,ETH,-0.00033600,-5.501,0.00584344,0.00610800,0.00577200,9.19000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00610800,0.00643300,0.00540000,130410.55000000,762.04642981,1604223738964,1604310138964,2196254,2198138,1885
MCOBTC,MCO,BTC,0.00000000,0.000,0.00021140,0.00021140,0.00021140,1.65000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00021140,0.00021140,0.00021140,1.65000000,0.00034881,1604223738964,1604310138964,10224957,10224957,1
WTCBTC,WTC,BTC,0.00000040,2.260,0.00001794,0.00001760,0.00001810,26.37000000,0.00001800,14128.58000000,0.00001810,1334.88000000,0.00001770,0.00001870,0.00001700,470855.55000000,8.44654990,1607498921952,1607585321952,14464885,14466329,1445
